filename,unique_id,Total,chromosome,ecDNA,MIA_total,TP,TP_partial,FN,FP,ref_total
NCIH2170_LOW_HER2_R1_G0_2501_91_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_91,66,1,65,12,7,2,57,3,66
NCIH2170_TOTAL_HER2_R1_G0_2501_68_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_68,206,0,206,57,11,46,149,0,206
NCIH2170_HIGH_HER2_R1_G0_2501_107_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_107,301,2,299,97,22,55,224,20,301
NCIH2170_HIGH_HER2_R1_G1_2404_S2_99_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_99_Merge(RGB),255,0,255,94,47,31,177,16,255
NCIH2170_HIGH_HER2_R1_G2_24_10_125_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_125_Merge(RGB),235,2,233,139,74,43,118,22,235
NCIH2170_LOW_HER2_R1_G2_24_10_24_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_24_Merge(RGB),83,0,83,23,5,16,62,2,83
NCIH2170_HIGH_HER2_R1_G0_2501_51_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_51,151,14,137,50,16,25,110,9,151
NCIH2170_TOTAL_HER2_R1_G0_2501_84_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_84,83,0,83,39,17,15,51,7,83
NCIH2170_LOW_HER2_R1_G1_2404_22_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_22_Merge(RGB),34,3,31,43,10,8,16,25,34
NCIH2170_LOW_HER2_R1_G2_24_10_39_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_39_Merge(RGB),121,0,121,83,48,16,57,19,121
NCIH2170_LOW_HER2_R1_G1_2404_72_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_72_Merge(RGB),72,21,51,34,14,15,43,5,72
NCIH2170_TOTAL_HER2_R1_G0_2501_63_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_63,757,0,757,166,45,118,594,3,757
NCIH2170_LOW_HER2_R1_G0_2501_124_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_124,176,7,169,52,19,29,128,4,176
NCIH2170_TOTAL_HER2_R1_G0_2501_85_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_85,364,1,363,120,40,73,251,7,364
NCIH2170_LOW_HER2_R1_G2_24_10_120_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_120_Merge(RGB),106,1,105,51,27,11,68,13,106
NCIH2170_HIGH_HER2_R1_G2_24_10_60_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_60_Merge(RGB),408,4,404,185,78,78,252,29,408
NCIH2170_LOW_HER2_R1_G1_2404_67_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_67_Merge(RGB),97,10,87,36,20,7,70,9,97
NCIH2170_LOW_HER2_R1_G1_2404_83_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_83_Merge(RGB),137,0,137,189,46,33,58,110,137
NCIH2170_TOTAL_HER2_R1_G0_2501_112_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_112,94,0,94,35,18,13,63,4,94
NCIH2170_TOTAL_HER2_R1_G1_2404_5_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_5_Merge(RGB),84,7,77,62,35,7,42,20,84
NCIH2170_HIGH_HER2_R1_G1_2404_S2_55_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_55_Merge(RGB),283,0,283,202,117,60,106,25,283
NCIH2170_LOW_HER2_R1_G2_24_10_101_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_101_Merge(RGB),182,0,182,76,43,20,119,13,182
NCIH2170_LOW_HER2_R1_G1_2404_35_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_35_Merge(RGB),328,3,325,259,151,49,128,59,328
NCIH2170_LOW_HER2_R1_G2_24_10_30_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_30_Merge(RGB),239,5,234,53,35,14,190,4,239
NCIH2170_LOW_HER2_R1_G2_24_10_106_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_106_Merge(RGB),136,12,124,53,31,15,90,7,136
NCIH2170_TOTAL_HER2_R1_G0_2501_32_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_32,86,0,86,19,8,9,69,2,86
NCIH2170_LOW_HER2_R1_G2_24_10_42_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_42_Merge(RGB),149,24,125,77,33,26,90,18,149
NCIH2170_LOW_HER2_R1_G2_24_10_128_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_128_Merge(RGB),198,33,165,63,30,21,147,12,198
NCIH2170_HIGH_HER2_R1_G2_24_10_46_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_46_Merge(RGB),329,9,320,84,30,40,259,14,329
NCIH2170_HIGH_HER2_R1_G1_2404_S2_85_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_85_Merge(RGB),262,0,262,123,78,28,156,17,262
NCIH2170_HIGH_HER2_R1_G0_2501_123_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_123,218,15,203,52,17,32,169,3,218
NCIH2170_HIGH_HER2_R1_G0_2501_94_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_94,421,15,406,100,36,60,325,4,421
NCIH2170_HIGH_HER2_R1_G2_24_10_101_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_101_Merge(RGB),116,5,111,22,7,13,96,2,116
NCIH2170_LOW_HER2_R1_G0_2501_100_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_100,102,2,100,41,15,21,66,5,102
