filename,unique_id,Total,chromosome,ecDNA
NCIH2170_TOTAL_HER2_R1_G0_2501_48_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_48,145,7,138
NCIH2170_TOTAL_HER2_R1_G1_2404_87_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_87_Merge(RGB),144,0,144
NCIH2170_LOW_HER2_R1_G0_2501_45_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_45,92,26,66
NCIH2170_HIGH_HER2_R1_G1_2404_S2_46_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_46_Merge(RGB),560,5,555
NCIH2170_HIGH_HER2_R1_G1_2404_S2_80_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_80_Merge(RGB),129,15,114
NCIH2170_HIGH_HER2_R1_G0_2501_119_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_119,157,12,145
NCIH2170_TOTAL_HER2_R1_G0_2501_97_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_97,272,0,272
NCIH2170_TOTAL_HER2_R1_G1_2404_70_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_70_Merge(RGB),319,44,275
NCIH2170_TOTAL_HER2_R1_G1_2404_39_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_39_Merge(RGB),152,0,152
NCIH2170_HIGH_HER2_R1_G0_2501_81_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_81,124,2,122
NCIH2170_TOTAL_HER2_R1_G2_24_10_22_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_22_Merge(RGB),282,4,278
NCIH2170_HIGH_HER2_R1_G2_24_10_3_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_3_Merge(RGB),337,9,328
NCIH2170_TOTAL_HER2_R1_G0_2501_21B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_21B,129,2,127
NCIH2170_TOTAL_HER2_R1_G0_2501_71_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_71,88,0,88
NCIH2170_LOW_HER2_R1_G1_2404_25_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_25_Merge(RGB),65,0,65
NCIH2170_HIGH_HER2_R1_G1_2404_S2_96_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_96_Merge(RGB),263,10,253
NCIH2170_LOW_HER2_R1_G0_2501_91_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_91,66,1,65
NCIH2170_TOTAL_HER2_R1_G0_2501_68_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_68,206,0,206
NCIH2170_HIGH_HER2_R1_G0_2501_107_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_107,301,2,299
NCIH2170_HIGH_HER2_R1_G1_2404_S2_99_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_99_Merge(RGB),255,0,255
NCIH2170_HIGH_HER2_R1_G2_24_10_125_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_125_Merge(RGB),235,2,233
NCIH2170_LOW_HER2_R1_G2_24_10_24_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_24_Merge(RGB),83,0,83
NCIH2170_HIGH_HER2_R1_G0_2501_51_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_51,151,14,137
NCIH2170_TOTAL_HER2_R1_G0_2501_84_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_84,83,0,83
NCIH2170_LOW_HER2_R1_G1_2404_22_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_22_Merge(RGB),34,3,31
NCIH2170_LOW_HER2_R1_G2_24_10_39_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_39_Merge(RGB),121,0,121
NCIH2170_LOW_HER2_R1_G1_2404_72_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_72_Merge(RGB),72,21,51
NCIH2170_TOTAL_HER2_R1_G0_2501_63_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_63,757,0,757
NCIH2170_LOW_HER2_R1_G0_2501_124_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_124,176,7,169
NCIH2170_TOTAL_HER2_R1_G0_2501_85_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_85,364,1,363
NCIH2170_LOW_HER2_R1_G2_24_10_120_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_120_Merge(RGB),106,1,105
NCIH2170_HIGH_HER2_R1_G2_24_10_60_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_60_Merge(RGB),408,4,404
NCIH2170_LOW_HER2_R1_G1_2404_67_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_67_Merge(RGB),97,10,87
NCIH2170_LOW_HER2_R1_G1_2404_83_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_83_Merge(RGB),137,0,137
